latitude,longitude,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,daynight,source_dataset,frp,bright_ti4,confidence_val,is_night,firms_type,is_offshore,is_viiirs,is_modis,dist_refinery,dist_powerplant,dist_factory,dist_volcano,dist_oil_gas,dist_industrial_zone,dist_mining,has_refinery_5km,has_powerplant_5km,has_factory_5km,has_volcano_10km,has_industrial_2km,count_ind_5km,count_ref_5km,cluster_id,final_class,classification,reason,nearest_site_type
7.32474,81.2229,0.38,0.43,2026-08-30,826,N,VIIRS,0.3,2.0NRT,307.22,D,VIIRS_SNPP_NRT,5.09,344.58,1,0,-1,0,1,0,658.1529169511634,629.4002808084786,614.6356589600402,2369.239436618988,1097.9021873190195,603.7388440071798,999,0,0,0,0,0,0,0,-1,unclassified,unclassified,No rule matched,factory
7.33473,81.20717,0.38,0.43,2026-08-30,826,N,VIIRS,0.3,2.0NRT,311.78,D,VIIRS_SNPP_NRT,10.19,357.22,1,0,-1,0,1,0,656.7862394587951,627.9386206848038,613.1827558007872,2367.775039112898,1096.87038918542,602.3135516818976,999,0,0,0,0,0,0,0,10,unclassified,unclassified,No rule matched,industrial_zone
7.34377,81.73465,0.41,0.45,2026-08-30,826,N,VIIRS,0.3,2.0NRT,300.35,D,VIIRS_SNPP_NRT,3.47,336.86,1,0,-1,0,1,0,667.2088926955905,642.0441923311381,627.0107345210556,2380.159216708658,1094.6992537823273,615.1369727459668,999,0,0,0,0,0,0,0,-1,unclassified,unclassified,No rule matched,industrial_zone
7.35118,81.19792,0.38,0.43,2026-08-30,826,N,VIIRS,0.3,2.0NRT,309.58,D,VIIRS_SNPP_NRT,3.8,336.49,0,0,-1,0,1,0,654.8221248981413,625.9322977921016,611.1801181620499,2365.76686005945,1095.0903023135106,600.3228051682063,999,0,0,0,0,0,0,0,10,unclassified,unclassified,No rule matched,industrial_zone
7.35132,81.81868,0.42,0.45,2026-08-30,826,N,VIIRS,0.3,2.0NRT,303.61,D,VIIRS_SNPP_NRT,2.2,335.23,1,0,-1,0,1,0,668.6559095575775,644.0951372348164,629.0280709744209,2381.586382914032,1093.9501170579078,617.004781866357,999,0,0,0,0,0,0,0,-1,unclassified,unclassified,No rule matched,factory
7.35166,81.2014,0.38,0.43,2026-08-30,826,N,VIIRS,0.3,2.0NRT,310.47,D,VIIRS_SNPP_NRT,3.8,348.5,1,0,-1,0,1,0,654.8282217809635,625.9630174883052,611.2084869822821,2365.7988285140577,1095.0191377786957,600.3438844159069,999,0,0,0,0,0,0,0,10,unclassified,unclassified,No rule matched,industrial_zone
7.35215,81.2049,0.38,0.43,2026-08-30,826,N,VIIRS,0.3,2.0NRT,310.14,D,VIIRS_SNPP_NRT,6.09,344.63,1,0,-1,0,1,0,654.8337854038691,625.9933641606314,611.2364742757329,2365.830252579888,1094.946889249011,600.3645422691493,999,0,0,0,0,0,0,0,10,unclassified,unclassified,No rule matched,industrial_zone
7.35264,81.2084,0.38,0.43,2026-08-30,826,N,VIIRS,0.3,2.0NRT,307.54,D,VIIRS_SNPP_NRT,6.09,348.0,1,0,-1,0,1,0,654.8395770928963,626.0239481793279,611.2647049846428,2365.8617343640485,1094.8747704386233,600.385448628926,999,0,0,0,0,0,0,0,10,unclassified,unclassified,No rule matched,industrial_zone
7.35635,81.76369,0.42,0.45,2026-08-30,826,N,VIIRS,0.3,2.0NRT,304.1,D,VIIRS_SNPP_NRT,4.46,340.63,1,0,-1,0,1,0,666.6192134680936,641.6831221710788,626.6366991934666,2379.5729024578054,1093.3230943643712,614.7051992230865,999,0,0,0,0,0,0,0,-1,unclassified,unclassified,No rule matched,factory
7.36431,81.55346,0.4,0.44,2026-08-30,826,N,VIIRS,0.3,2.0NRT,303.42,D,VIIRS_SNPP_NRT,4.19,330.83,0,0,-1,0,1,0,660.5106026901508,634.1149503100343,619.1586139256221,2373.2098096370855,1092.479153188484,607.6021068271749,999,0,0,0,0,0,0,0,11,unclassified,unclassified,No rule matched,industrial_zone
